Date,Apple,Samsung,Xiaomi,Huawei,Oppo,Motorola,Unknown,OnePlus,LG,Sony,Realme,Lenovo,Nokia,Google,Vivo,Alcatel,Asus,ZTE,HTC,Tecno,Honor,bq,Wiko,Infinix,Vodafone,Meizu,CAT,TCL,Caterpillar,Itel,MyPhone,General Mobile,Neffos,Archos,RIM,Other
2021-05,30.83,32.35,10.55,14.58,1.26,1.61,1.38,0.93,1.21,0.94,0.36,0.8,0.76,0.54,0.22,0.24,0.25,0.16,0.17,0.07,0.07,0.11,0.11,0.05,0.06,0.06,0.03,0,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.19
2021-06,30.1,32.57,10.68,14.68,1.3,1.65,1.64,0.91,1.16,0.92,0.37,0.75,0.8,0.54,0.23,0.24,0.24,0.17,0.16,0.08,0.09,0.08,0.1,0.05,0.06,0.06,0.05,0,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.19
2021-07,30.82,32.37,10.76,14.01,1.36,1.67,1.72,0.94,1.11,0.91,0.38,0.78,0.77,0.59,0.23,0.21,0.23,0.15,0.15,0.08,0.07,0.07,0.09,0.05,0.06,0.06,0.04,0,0.02,0.01,0.02,0.02,0.03,0.02,0.01,0.18
2021-08,30.02,33.3,11.58,13.19,1.6,1.68,1.27,0.98,1.16,0.87,0.53,0.74,0.72,0.58,0.25,0.2,0.21,0.15,0.13,0.09,0.08,0.07,0.08,0.07,0.05,0.05,0.03,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.17
2021-09,32.16,32.12,11.78,12.38,1.63,1.62,1.2,1,1.04,0.79,0.59,0.73,0.68,0.57,0.27,0.18,0.2,0.15,0.12,0.1,0.09,0.07,0.07,0.07,0.05,0.05,0.03,0,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.15
2021-10,36.42,30.44,11.31,11.25,1.55,1.52,1.1,1.01,0.9,0.71,0.56,0.64,0.6,0.57,0.22,0.16,0.17,0.12,0.1,0.07,0.06,0.07,0.07,0.06,0.04,0.04,0.02,0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.13
2021-11,35.42,30.81,11.71,11.22,1.63,1.58,1.22,0.99,0.9,0.7,0.59,0.67,0.62,0.55,0.22,0.16,0.17,0.12,0.1,0.07,0.06,0.07,0.06,0.06,0.04,0.04,0.03,0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.12
2021-12,35.66,30.6,11.9,10.87,1.67,1.59,1.38,0.98,0.83,0.68,0.64,0.66,0.61,0.56,0.23,0.15,0.16,0.13,0.1,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11
2022-01,35.33,31.16,12.04,10.02,1.93,1.58,1.12,1.09,0.78,0.73,0.77,0.67,0.6,0.65,0.33,0.19,0.16,0.12,0.09,0.07,0.07,0.06,0.05,0.06,0.04,0.03,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11
2022-02,34.52,31.56,12.49,9.61,2.07,1.6,1.07,1.1,0.76,0.72,0.83,0.66,0.68,0.69,0.39,0.21,0.15,0.12,0.08,0.08,0.07,0.06,0.05,0.08,0.04,0.03,0.02,0.07,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.12
2022-03,29.98,32.34,15.11,9.56,2.26,1.95,1.17,1.06,0.86,0.76,1.15,0.68,0.76,0.66,0.41,0.21,0.18,0.12,0.1,0.08,0.07,0.05,0.04,0.08,0.04,0.03,0.03,0.06,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.1
2022-04,27.6,33.42,15.48,9.75,2.35,2.13,1.27,1,0.89,0.86,1.24,0.76,0.72,0.71,0.45,0.21,0.19,0.13,0.1,0.09,0.09,0.06,0.05,0.08,0.05,0.03,0.03,0.07,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.11
2022-05,31.43,32.15,14.37,9.14,2.3,1.86,1.23,1.05,0.81,0.74,1.2,0.62,0.64,0.72,0.46,0.18,0.16,0.12,0.09,0.09,0.1,0.05,0.04,0.08,0.03,0.03,0.02,0.06,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.11
