Date,Apple,Samsung,Huawei,Oppo,Google,Xiaomi,Unknown,Nokia,Motorola,OnePlus,Lenovo,Vivo,Realme,LG,Sony,Alcatel,HTC,Asus,Vodafone,ZTE,Honor,BBK,Tecno,Infinix,Other
2021-05,52.73,25.01,9.55,4.27,1.56,1.73,1.22,0.64,0.54,0.55,0.39,0.38,0.26,0.32,0.24,0.08,0.12,0.09,0.06,0.07,0.05,0.03,0.01,0.01,0.11
2021-06,53.22,24.79,9.31,4.25,1.55,1.72,1.32,0.63,0.55,0.54,0.35,0.38,0.25,0.32,0.23,0.07,0.11,0.09,0.06,0.06,0.04,0.03,0.01,0.01,0.11
2021-07,53.67,24.67,9.29,4.15,1.48,1.66,1.33,0.59,0.55,0.51,0.4,0.37,0.27,0.31,0.21,0.06,0.1,0.08,0.05,0.05,0.04,0.03,0.01,0.01,0.1
2021-08,52.27,26.8,8.9,4.17,1.42,1.67,1.02,0.59,0.55,0.51,0.4,0.34,0.3,0.34,0.2,0.06,0.1,0.08,0.05,0.05,0.04,0.02,0.02,0.01,0.1
2021-09,52.78,27.02,8.15,4.13,1.45,1.69,1.04,0.61,0.56,0.48,0.4,0.35,0.31,0.33,0.21,0.06,0.1,0.07,0.05,0.06,0.03,0.02,0.01,0.01,0.09
2021-10,54.42,26.41,7.44,3.97,1.51,1.61,1.04,0.58,0.57,0.47,0.37,0.32,0.33,0.32,0.2,0.06,0.08,0.07,0.05,0.04,0.03,0.02,0.01,0.01,0.08
2021-11,54.09,26.94,7.21,3.97,1.44,1.59,1.1,0.63,0.58,0.48,0.37,0.31,0.32,0.34,0.19,0.06,0.08,0.06,0.04,0.05,0.03,0.02,0.01,0.01,0.08
2021-12,53.83,26.74,7.32,4.11,1.39,1.67,1.16,0.68,0.63,0.46,0.4,0.34,0.35,0.32,0.19,0.06,0.07,0.06,0.04,0.04,0.03,0.02,0.01,0.01,0.08
2022-01,55.06,28.15,4.94,3.92,1.77,1.33,1.03,0.7,0.64,0.43,0.4,0.36,0.31,0.3,0.18,0.13,0.07,0.07,0.04,0.04,0.02,0.01,0.02,0.01,0.08
2022-02,54.88,29.9,3.18,3.76,1.89,1.35,1.02,0.79,0.67,0.4,0.38,0.41,0.34,0.28,0.2,0.15,0.07,0.07,0.04,0.04,0.01,0.02,0.02,0.02,0.09
2022-03,54.29,30.35,3.08,3.86,1.82,1.34,1.12,0.81,0.72,0.4,0.4,0.39,0.34,0.29,0.21,0.16,0.08,0.09,0.04,0.04,0.01,0.01,0.03,0.02,0.09
2022-04,53.38,30.54,3.03,4.03,1.87,1.41,1.24,0.84,0.81,0.41,0.4,0.49,0.43,0.3,0.21,0.16,0.09,0.09,0.04,0.04,0.01,0.01,0.04,0.03,0.1
2022-05,54.49,29.98,2.84,3.87,1.91,1.45,1.12,0.79,0.77,0.41,0.39,0.5,0.45,0.27,0.19,0.14,0.07,0.09,0.04,0.04,0.02,0.01,0.04,0.04,0.09
