Date,Samsung,Motorola,Xiaomi,Apple,Huawei,LG,Unknown,Asus,Nokia,ZTE,Alcatel,Lenovo,Realme,Tecno,Sony,Vivo,Oppo,Mixc,OnePlus,Google,Infinix,Blu,Honor,HTC,Meizu,Other
2021-05,45.41,16.98,9.51,10.7,8.37,4.59,0.98,0.74,0.5,0.44,0.43,0.34,0.13,0.07,0.28,0.06,0.03,0,0.09,0.05,0.02,0.06,0.04,0.03,0.01,0.16
2021-06,44.91,17.08,9.77,10.9,8.46,4.41,1.09,0.73,0.49,0.44,0.41,0.32,0.14,0.07,0.27,0.07,0.03,0,0.08,0.05,0.02,0.05,0.04,0.03,0.01,0.15
2021-07,44.86,17.4,9.99,11.28,7.58,4.44,1.1,0.77,0.48,0.4,0.37,0.34,0.15,0.09,0.25,0.08,0.03,0,0.08,0.05,0.02,0.05,0.03,0.02,0.01,0.14
2021-08,45.33,17.18,10.65,10.66,7.26,4.78,0.7,0.71,0.48,0.41,0.36,0.33,0.18,0.18,0.23,0.09,0.05,0,0.08,0.05,0.04,0.05,0.03,0.02,0.01,0.13
2021-09,45.04,17.13,11.09,10.72,7.23,4.55,0.75,0.66,0.49,0.42,0.35,0.33,0.21,0.2,0.22,0.11,0.07,0,0.08,0.05,0.05,0.04,0.03,0.02,0.01,0.13
2021-10,44.36,17.2,11.46,11.46,6.83,4.46,0.77,0.68,0.47,0.41,0.32,0.31,0.24,0.24,0.21,0.11,0.07,0,0.08,0.05,0.06,0.04,0.03,0.02,0.01,0.13
2021-11,44.18,17.32,11.6,11.65,6.52,4.46,0.82,0.65,0.47,0.43,0.31,0.3,0.24,0.22,0.2,0.11,0.08,0,0.08,0.05,0.06,0.03,0.03,0.02,0.01,0.12
2021-12,43.54,17.62,11.82,12.22,6.06,4.38,0.93,0.66,0.47,0.42,0.3,0.29,0.25,0.22,0.19,0.12,0.09,0,0.08,0.06,0.07,0.03,0.03,0.02,0.01,0.11
2022-01,43.12,18.76,12.22,11.66,5.32,4.4,0.69,0.63,0.45,0.38,0.26,0.26,0.28,0.25,0.17,0.18,0.1,0.17,0.08,0.35,0.1,0.03,0.03,0.02,0.01,0.1
2022-02,41.55,21.98,13.07,9.05,4.08,6.43,0.49,0.59,0.5,0.31,0.22,0.21,0.34,0.22,0.13,0.16,0.1,0.19,0.08,0.05,0.09,0.02,0.02,0.02,0.01,0.09
2022-03,43.49,19.6,12.83,10.16,4.46,5.33,0.61,0.66,0.46,0.35,0.22,0.22,0.3,0.26,0.13,0.2,0.11,0.2,0.07,0.05,0.11,0.02,0.03,0.03,0.01,0.1
2022-04,43.45,18.47,12.69,11.31,5.07,4.47,0.79,0.58,0.46,0.41,0.23,0.23,0.33,0.3,0.14,0.27,0.14,0.21,0.08,0.06,0.14,0.02,0.03,0.03,0.01,0.09
2022-05,43.24,18.02,13.17,11.62,5.11,4.14,0.8,0.51,0.48,0.41,0.22,0.25,0.36,0.34,0.14,0.32,0.16,0.22,0.08,0.07,0.15,0.02,0.04,0.03,0.01,0.09
